MS-DRG ,Surg DRG,Reimbursement Type,Case Rate LOS,Addt'l Per Diem,MS-DRG Title,Relative Weights,Geometric Mean LOS,Arithmetic Mean LOS,Medicare,Aetna Medicare 100% Medicare,Blue Access,Blue Access Choice,Blue Preferred,Blue Pathway,Blue Pathway X,Blue Traditional,Cigna,Care Improvement Plus (UHC Medicare)  Medicare Rate per Matrix,Health Scope 110% of Medicare Rate per Matrix,"UHC
Commercial",Consociate Heatlh 130% Medicare (2021) Rates,MO State Avg Chgs (4% Increase),MO State Avg Pay (4% Increase),National Avg Chgs (4% Increase),National Avg Pay (4% Increase)
1,Surgery,,,,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,27.7135,28.6,37.6,199083.2529,199083.2529,181828.2735,163537.3635,163537.3635,163537.3635,163537.3635,181828.2735,331592.0275,199083.2529,218991.5782,311721.448,258808.2287,819862.2951,220608.5007,1126639.79,274248.1905
2,Surgery,,,,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,15.6207,17,20.1,112213.1729,112213.1729,102487.4127,92177.7507,92177.7507,92177.7507,92177.7507,102487.4127,186901.6755,112213.1729,123434.4902,175701.6336,145877.1248,,,619736.7187,158608.2438
3,Surgery,,,,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",18.8862,22.9,30.2,135671.284,135671.284,123912.3582,111447.4662,111447.4662,111447.4662,111447.4662,123912.3582,225973.383,135671.284,149238.4124,212431.9776,176372.6693,514451.939,141199.3775,681575.1385,158796.1455
4,Surgery,,,,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",11.5193,19.5,23.7,82750.27387,82750.27387,75578.1273,67975.3893,67975.3893,67975.3893,67975.3893,75578.1273,137828.4245,82750.27387,91025.30125,129569.0864,107575.356,298339.704,76257.8128,379128.6329,88495.2579
5,Surgery,,,,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.5201,14.9,20.1,75572.40076,75572.40076,69022.3761,62079.1101,62079.1101,62079.1101,62079.1101,69022.3761,125872.9965,75572.40076,83129.64084,118330.0848,98244.12099,345594.795,93866.84666,606805.6725,130827.9335
6,Surgery,,,,LIVER TRANSPLANT W/O MCC,5.0621,7.9,8.6,36364.2028,36364.2028,33212.4381,29871.4521,29871.4521,29871.4521,29871.4521,33212.4381,60568.0265,36364.2028,40000.62308,56938.5008,47273.46364,208552.5236,35249.85455,344403.8,59231.49498
7,Surgery,,,,LUNG TRANSPLANT,10.7826,17.1,20.2,77458.10101,77458.10101,70744.6386,63628.1226,63628.1226,63628.1226,63628.1226,70744.6386,129013.809,77458.10101,85203.91111,121282.6848,100695.5313,355300.68,90459.04,682155.1861,128122.7127
8,Surgery,,,,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.6467,8.7,10.1,40563.74705,40563.74705,37047.9987,33321.1767,33321.1767,33321.1767,33321.1767,37047.9987,67562.7655,40563.74705,44620.12176,63514.0816,52732.87117,490211.4534,40677,464936.8308,82039.5626
10,,,,,PANCREAS TRANSPLANT,3.9763,7.5,8.4,28564.22821,28564.22821,26088.5043,23464.1463,23464.1463,23464.1463,23464.1463,26088.5043,47576.4295,28564.22821,31420.65103,44725.4224,37133.49667,,,260320.2185,67061.86342
11,Surgery,,,,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",5.0797,11.2,13.9,36490.63451,36490.63451,33327.9117,29975.3097,29975.3097,29975.3097,29975.3097,33327.9117,60778.6105,36490.63451,40139.69797,57136.4656,47437.82487,148508.8338,39207.39911,202314.2501,49455.82068
12,Surgery,,,,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",3.9239,9,10.4,28187.80652,28187.80652,25744.7079,23154.9339,23154.9339,23154.9339,23154.9339,25744.7079,46949.4635,28187.80652,31006.58717,44136.0272,36644.14847,110706.4502,27138.75921,158137.1474,38017.35903
13,Surgery,,,,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",2.7311,6.4,7.1,19619.18458,19619.18458,17918.7471,16116.2211,16116.2211,16116.2211,16116.2211,17918.7471,32677.6115,19619.18458,21581.10304,30719.4128,25504.93996,84527.52,17910.48001,100473.2035,23326.72678
14,Surgery,,,,ALLOGENEIC BONE MARROW TRANSPLANT,12.6338,24.9,28.4,90756.41836,90756.41836,82890.3618,74552.0538,74552.0538,74552.0538,74552.0538,82890.3618,151163.417,90756.41836,99832.06019,142104.9824,117983.3439,432309.124,131908.608,476250.1284,132467.9574
16,Surgery,,,,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC OR T-CELL IMMUNOTHERAPY,6.7587,17,18.1,48551.93249,48551.93249,44343.8307,39883.0887,39883.0887,39883.0887,39883.0887,44343.8307,80867.8455,48551.93249,53407.12574,76021.8576,63117.51224,241430.9687,66817.96216,249952.2291,66652.19183
17,Surgery,,,,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.3353,6.4,8.9,31143.14779,31143.14779,28443.9033,25582.6053,25582.6053,25582.6053,25582.6053,28443.9033,51871.8645,31143.14779,34257.46256,48763.4544,40486.09212,,,169983.1186,41968.43171
20,Surgery,,,,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,10.9368,13.6,17,78565.81522,78565.81522,71756.3448,64538.0568,64538.0568,64538.0568,64538.0568,71756.3448,130858.812,78565.81522,86422.39674,123017.1264,102135.5598,351457.964,78572.52,426373.2408,95768.74105
21,Surgery,,,,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,8.199,12,14,58898.50038,58898.50038,53793.639,48382.299,48382.299,48382.299,48382.299,53793.639,98101.035,58898.50038,64788.35042,92222.352,76568.05049,,,292165.5401,69002.62443
22,Surgery,,,,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.9916,4.9,7,35857.75759,35857.75759,32749.8876,29455.4316,29455.4316,29455.4316,29455.4316,32749.8876,59724.494,35857.75759,39443.53335,56145.5168,46615.08487,,,184677.8905,50290.22176
