Charge Type,Procedure,CDM Description with Payer,Code,Gross Charge,Self Pay Rate,Expected Reimbursement,MIN Expected Reimbursement,MAX Expected Reimbursement,Facility
PRO,10005,FINE NEEDLE ASPIRATION BX W/US GDN 1ST LESION - PROVIDRS CARE NETWORK [80021],CPT® 10005,318,238.5,292.56,0,307.67,WMH Parent
PRO,10005,FINE NEEDLE ASPIRATION BX W/US GDN 1ST LESION - INTEGRATED HEALTH PLAN INC [80062],CPT® 10005,318,238.5,254.4,0,307.67,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - MEDICA EXCHANGE [80075],CPT® 11312,390,292.5,343.2,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - INTEGRATED HEALTH PLAN INC [80062],CPT® 11312,390,292.5,312,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - COMPCARE OZARKS COMM [80014],CPT® 11312,390,292.5,312,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - BLUE CROSS BLUE SHIELD [4000],CPT® 11312,390,292.5,377.33,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - HEALTHLINK HMO [80009],CPT® 11312,390,292.5,312,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - AETNA [5000],CPT® 11312,390,292.5,341.2,0,377.33,WMH Parent
PRO,11312,SHAV SKIN LES 1.1-2.0 CM FACEFACIAL - CORIZON [80015],CPT® 11312,390,292.5,331.5,0,377.33,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - BEECH STREET [80057],CPT® 11313,450,337.5,360,0,435.38,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - CCA US MARSHALL [90024],CPT® 11313,450,337.5,239.3,0,435.38,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - INTEGRATED HEALTH PLAN INC [80062],CPT® 11313,450,337.5,360,0,435.38,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - HEALTH CHOICE NW MO PPO [80017],CPT® 11313,450,337.5,396,0,435.38,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - COMPCARE OZARKS COMM [80014],CPT® 11313,450,337.5,360,0,435.38,WMH Parent
PRO,11313,SHAV SKIN LES >2.1 CM FACEFACIAL - MEDICA EXCHANGE [80075],CPT® 11313,450,337.5,396,0,435.38,WMH Parent
PRO,11400,EXC SKIN BENIG <0.5 CM TRUNKARMLEG - PROVIDRS CARE NETWORK [80021],CPT® 11400,295,221.25,271.4,0,285.41,WMH Parent
PRO,11400,EXC SKIN BENIG <0.5 CM TRUNKARMLEG - CCA US MARSHALL [90024],CPT® 11400,295,221.25,208.3,0,285.41,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - PROVIDRS CARE NETWORK [80021],CPT® 11401,360,270,331.2,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - AETNA [5000],CPT® 11401,360,270,314.95,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - INTEGRATED HEALTH PLAN INC [80062],CPT® 11401,360,270,288,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - CORIZON [80015],CPT® 11401,360,270,306,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - UNITED HEALTHCARE [3000],CPT® 11401,360,270,275.4,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - HEALTH CHOICE NW MO PPO [80017],CPT® 11401,360,270,316.8,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - COMPCARE OZARKS COMM [80014],CPT® 11401,360,270,288,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - HEALTHLINK HMO [80009],CPT® 11401,360,270,288,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - CCA US MARSHALL [90024],CPT® 11401,360,270,221.3,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - BLUE CROSS BLUE SHIELD [4000],CPT® 11401,360,270,348.3,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - MEDICA EXCHANGE [80075],CPT® 11401,360,270,316.8,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - BEECH STREET [80057],CPT® 11401,360,270,288,0,348.3,WMH Parent
PRO,11401,EXC SKIN BENIG 0.6-1 CM TRUNKARMLEG - HUMANA [7500],CPT® 11401,360,270,302.4,0,348.3,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - BEECH STREET [80057],CPT® 11423,495,371.25,396,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - COMPCARE OZARKS COMM [80014],CPT® 11423,495,371.25,396,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - INTEGRATED HEALTH PLAN INC [80062],CPT® 11423,495,371.25,396,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - UNITED HEALTHCARE [3000],CPT® 11423,495,371.25,378.68,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - AETNA [5000],CPT® 11423,495,371.25,433.06,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - HEALTH CHOICE NW MO PPO [80017],CPT® 11423,495,371.25,435.6,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - CORIZON [80015],CPT® 11423,495,371.25,420.75,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - CCA US MARSHALL [90024],CPT® 11423,495,371.25,248.3,0,478.91,WMH Parent
PRO,11423,EXC SKIN BENIG 2.1-3 CM REMAINDR BODY - MEDICA EXCHANGE [80075],CPT® 11423,495,371.25,435.6,0,478.91,WMH Parent
PRO,11424,EXC SKIN BENIG 3.1-4 CM REMAINDR BODY - BLUE CROSS BLUE SHIELD [4000],CPT® 11424,575,431.25,556.31,0,556.31,WMH Parent
PRO,11424,EXC SKIN BENIG 3.1-4 CM REMAINDR BODY - HEALTH CHOICE NW MO PPO [80017],CPT® 11424,575,431.25,506,0,556.31,WMH Parent
PRO,11424,EXC SKIN BENIG 3.1-4 CM REMAINDR BODY - MEDICA EXCHANGE [80075],CPT® 11424,575,431.25,506,0,556.31,WMH Parent
PRO,11424,EXC SKIN BENIG 3.1-4 CM REMAINDR BODY - HEALTHLINK HMO [80009],CPT® 11424,575,431.25,460,0,556.31,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - BLUE CROSS BLUE SHIELD [4000],CPT® 21920,640,480,0,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - COMPCARE OZARKS COMM [80014],CPT® 21920,640,480,512,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - HEALTHLINK HMO [80009],CPT® 21920,640,480,512,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - AETNA [5000],CPT® 21920,640,480,559.91,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - CORIZON [80015],CPT® 21920,640,480,544,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - CCA US MARSHALL [90024],CPT® 21920,640,480,294.4,0,588.8,WMH Parent
PRO,21920,BIOPSY SOFT TISSUE BACKSUPERF - HUMANA [7500],CPT® 21920,640,480,537.6,0,588.8,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - HEALTHLINK HMO [80009],CPT® 21930,1175,881.25,940,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - UNITED HEALTHCARE [3000],CPT® 21930,1175,881.25,898.88,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - CCA US MARSHALL [90024],CPT® 21930,1175,881.25,540.5,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - HUMANA [7500],CPT® 21930,1175,881.25,987,0,1136.81,WMH Parent
PRO,21930,EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM - AETNA [5000],CPT® 21930,1175,881.25,1027.97,0,1136.81,WMH Parent
